ID;NOME;CARACTERISTICA;IMG
1;SEILAO;ATIVO AGIL BRINCALHÃO;https://qcanimais.com.br/wp-content/uploads/2018/08/ceylon1.jpg
2;HIGHLAND;CATIVANTE DOCE AFETUOSO;https://meusanimais.com.br/wp-content/uploads/2021/08/gato-highland-fold-amarelo-768x576.jpg
3;MINSKIN;ALEGRES CARINHOSOS BRINCALHOES;https://t2.ea.ltmcdn.com/pt/razas/5/2/8/gato-minskin_825_0_600.jpg
4;URAL REX;CARINHOSO SOCIAL INTELIGENTE;https://thumbs.dreamstime.com/b/o-gato-encaracolado-ador%C3%A1vel-ural-rex-est%C3%A1-e-olha-para-frente-com-olhos-verdes-propriet%C3%A1rio-145231664.jpg
5;COLOPOINT;INTELIGENTE ATIVO AFETUOSO;http://amigopet.org/wp-content/uploads/2021/03/Gato-Colorpoint01.jpg
6;NEVA MASQUERADE;GRANDE CARINHOSO ATIVO;https://www.zooplus.pt/magazine/wp-content/uploads/2018/06/neva-masquerade-768x621.jpg
7;CHANTILLY-TIFFANY;ADORÁVEL SIMPÁTICO FOFO;https://i0.statig.com.br/bancodeimagens/f2/mq/98/f2mq98dyiiz2k3f9p8b507fs5.jpg
8;KURILIAN BOBTAIL;SIMPÁTICO ATIVO INTELIGENTE;https://i0.statig.com.br/bancodeimagens/5n/ks/u9/5nksu9fw08mkmiahadbx9zyh7.jpg
9;REX ALEMAO;CARINHOSOS SOCIÁVEIS DOCEIS;https://www.enciclopet.com.br/wp-content/uploads/2016/09/german-rex.jpg
10;SPHYNX;CARINHOSO AMIGAVEL INTELIGENTE;https://www.petlove.com.br/images/breeds/192403/profile/original/sphynx-p.jpg?1532626992
11;LEVKOY;ALEGRE SOCIÁVEL AFETUOSO;https://t1.ea.ltmcdn.com/pt/razas/9/8/7/gato-levkoy-ucraniano_789_0_600.jpg
12;ELFO;SIMPÁTICO ATIVO INTELIGENTE;https://meusanimais.com.br/wp-content/uploads/2018/04/gato-elfo-origem.jpg
13;BAMBINO;AFETUOSO ATIVO BRINCALHÃO;https://t2.ea.ltmcdn.com/pt/razas/4/8/7/gato-bambino_784_0_600.jpg
14;LYKOI;DOCES AMISTOSOS BRINCALHOES;https://s2.glbimg.com/HtygRNJSOz0wh9pSjFYslRMNZT8=/0x0:596x558/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_fb623579cd474803aedbbbbae014af68/internal_photos/bs/2022/o/J/bsXOYRRJmXrP3jpbH4XQ/2022-07-26-1-ja-ouviu-falar-em-gato-lobisomem-conheca-o-lykoi-felino-domestico-que-lembra-o-ser-lendario.jpeg
15;RAGAMUFFIN;AFETUOSO SOCIÁVEL DÓCIL;https://t2.ea.ltmcdn.com/pt/razas/7/4/7/gato-ragamuffin_747_0_600.jpg
16;BRITISH LONGHAIR;INDEPENDENTE AFETUOSO BRINCALHÃO;https://t2.ea.ltmcdn.com/pt/razas/3/4/7/gato-british-longhair_743_0_600.jpg
17;CARACAT;INQUIETOS ENERGICOS BRINCALHOES;https://t1.ea.ltmcdn.com/pt/razas/9/2/7/gato-caracat_729_0_orig.jpg
18;MAINE COON; GRANDE DÓCIL GENTIL;https://static1.patasdacasa.com.br/articles/5/26/35/@/11233-os-gatos-da-raca-maine-coon-podem-parece-articles_media_mobile-1.jpg
19;KHAO MANEE;AFETUOSO ATIVO INQUIETO;https://static1.patasdacasa.com.br/articles/5/17/65/@/8431-khao-manee-voce-ja-ouviu-falar-nessa-ra-articles_media_mobile-2.jpg
20;BOBTAIL AMERICANO;ENERGICO BRINCALHÃO CARINHOSO;https://t1.ea.ltmcdn.com/pt/razas/6/1/7/gato-bobtail-americano_716_0_orig.jpg
21;SINGAPURA;TRANQUILO INTELIGENTE;https://www.petlove.com.br/images/breeds/226682/profile/original/singapura-petlove-perfil.jpg?1596652984
22;CYMRIC;CARINHOSO SIMPÁTICO SOCIÁVEL;https://www.purina.pt/sites/default/files/styles/ttt_image_510/public/2021-02/CAT%20BREED%20Hero%20Mobile_0031_Cymrics.jpg?itok=LQSdU3tH
23;SKOOKUM;AFETUOSO LEAL SOCIÁVEL;https://t1.ea.ltmcdn.com/pt/razas/4/1/7/gato-skookum_714_0_600.jpg
24;BOBTAIL JAPONES;ALEGRE ATIVO BRINCALHÃO;https://t2.ea.ltmcdn.com/pt/razas/1/1/7/gato-bobtail-japones_711_0_orig.jpg
25;TOYGER;BRINCALHÃO CARINHOSO CURIOSO;https://t1.ea.ltmcdn.com/pt/razas/8/9/6/gato-toyger_698_0_600.jpg
26;AMERICA WIREHAIR;ADORÁVEL LINDO LEAL;https://t2.ea.ltmcdn.com/pt/razas/5/6/6/gato-american-wirehair_665_0_orig.jpg
27;BURMILLA;ATENTO AFETUOSO APEGADO;https://static1.patasdacasa.com.br/articles/6/28/26/@/11835-gato-burmilla-conheca-mais-sobre-essa-r-opengraph_1200-3.jpg
28;PIXIE-BOB;AMIGAVEL AMOROSO PACIENTE;https://www.petlove.com.br/images/breeds/226284/profile/original/pixie-bob-perfil-petlove.jpg?1596149122
29;AMERICAN CURL;AFETUOSO SOCUAVEL AMÁVEL;https://www.petlove.com.br/images/breeds/199525/profile/original/american-curl-perfil-petlove.jpg?1613743699
30;LAPERM;DÓCIL AFETUOSO;https://t2.ea.ltmcdn.com/pt/razas/5/5/6/gato-laperm_655_0_orig.jpg
31;TONQUINES;DOCE CARINHOSO INQUIETO;https://www.racoesreis.com.br/wordpress/wp-content/uploads/imagem_do_post-52.jpg
32;JAVANES;CARINHOSOS COMUNICATIVOS CATIVANTES;https://t1.ea.ltmcdn.com/pt/razas/3/2/6/gato-javanes_623_0_orig.jpg
33;SOMALI;INTELIGENTE IMPOTENTE ELEGANTE;https://www.petlove.com.br/images/breeds/226885/mobile_header/original/somali-perfil.jpg?1596822504
34;CHAUSIE;INTELIGENTE TEIMOSO FIEL;https://t2.ea.ltmcdn.com/pt/razas/0/2/6/gato-chausie_620_0_orig.jpg
35;BIRMANES;BRINCALHÃO CURIOSO COMUNICATIVO;https://static1.patasdacasa.com.br/articles/9/28/59/@/11940-o-gato-birmanes-fara-voce-se-apaixonar-c-articles_media_mobile-1.jpg
36;SAGRADO DA BIRMANIA;DÓCIL TRANQUILO;https://www.petlove.com.br/images/breeds/193051/profile/original/sagrado_da_birmania-p.jpg?1532626931
37;SOSOKE;AMIGAVEL PECULIAR ENERGICO;https://t1.ea.ltmcdn.com/pt/razas/7/1/6/gato-sokoke_617_0_orig.jpg
38;DAVON REX;CARINHOSO COMPANHEIRO BRINCALHÃO;https://t2.ea.ltmcdn.com/pt/razas/9/0/6/gato-devon-rex_609_0_600.jpg
39;TURKISH VAN;SOCIÁVEL CATIVANTE LINDO;https://static1.patasdacasa.com.br/articles/1/16/91/@/8076-turkish-van-ou-van-turco-conheca-mais-s-opengraph_1200-2.jpg
40;KORAT;COMPANHEIRO CARINHOSO TRANQUILO;https://royalpets.vteximg.com.br/arquivos/ids/177834/korat-500-500-1.jpg?v=637534859391200000
41;SAVANNAH;ATIVO SOCIAL CARINHOSO;https://static.wixstatic.com/media/545b39_25e720cd008d4be4bba2be90d8299dc1.jpg/v1/fill/w_600,h_450,al_c,lg_1,q_80,enc_auto/545b39_25e720cd008d4be4bba2be90d8299dc1.jpg
42;ORIENTAL SHORTHAIR;EXTROVERTIDO AFETUOSO;https://www.petlove.com.br/images/breeds/226251/profile/original/oriental-perfil-petlove.jpg?1596138291
43;CHARTREUX;ADORÁVEL DÓCIL CARINHOSO;https://guiaanimal.net/uploads/article/image/221/AdobeStock_398113113.jpeg
44;SELKIRK REX;TRANQUILO PACIENTE;https://t2.ea.ltmcdn.com/pt/razas/6/1/6/gato-selkirk-rex_616_0_orig.jpg
45;NEBELUNG;ALEGRE LINDO AFAVEL;https://static1.patasdacasa.com.br/articles/3/27/33/@/11596-o-gato-nebelung-e-um-companheiro-leal-e-articles_media_mobile-2.jpg
46;CORNISH;DÓCIL CARINHOSO AMÁVEL;https://static1.patasdacasa.com.br/articles/5/27/55/@/11648-a-raca-de-gato-cornish-rex-e-uma-das-pou-articles_media_mobile-2.jpg
47;OCICAT;CARINHOSO AFETUOSO;https://image.cachorrogato.com.br/thumb/500/500/1/imagens/racas/imagem323.jpg
48;PETERBALD;CARINHOSO CALMO;https://image.cachorrogato.com.br/thumb/500/500/1/imagens/racas/imagem329.jpg
49;SELVAGEM;SOLITÁRIO TRANQUILO TERRITORIAL;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Felis_silvestris_silvestris.jpg/280px-Felis_silvestris_silvestris.jpg
50;EXOTICO DE PELO CURTO;FAMILIARES CARINHOSOS;https://t2.ea.ltmcdn.com/pt/razas/7/0/6/gato-exotico-de-pelo-curto_607_0_orig.jpg
51;AZUL RUSSO;TRANQUILOS CARINHOSOS;https://www.petlove.com.br/images/breeds/193039/profile/original/azul_russo-p.jpg?1532625892
52;SCOTTISH FOLD;TRANQUILO SOCIÁVEL AMOROSO;https://i0.wp.com/www.portaldodog.com.br/cachorros/wp-content/uploads/2022/01/CATSTREET9.jpg?resize=1080%2C1080&ssl=1
53;SNOWSHOE;TRANQUILO PACÍFICO;https://www.petlove.com.br/images/breeds/228275/profile/original/GettyImages-506509770.jpg?1598892401
54;MANX;EQUILIBRADO CARINHOSO;https://image.cachorrogato.com.br/thumb/800/600/1/imagens/racas/imagem314.jpg
55;ANGORA TURCO;ESBELTO ELEGANTE;https://www.petlove.com.br/images/breeds/193065/profile/original/angora-p.jpg?1532625875
56;BOMBAIM;SOCIÁVEL CARINHOSO;https://www.petlove.com.br/images/breeds/225620/profile/original/bombay-gato-petlove.jpg?1595269194
57;NORUEGUES DA FLORESTA;BELO PELAGEM LONGA;https://static1.patasdacasa.com.br/articles/1/33/31/@/16430-o-noruegues-da-floresta-e-um-gato-grande-opengraph_1200-2.jpg
58;SIBERIANO;CARINHOSO ROBUSTO;https://royalpets.vteximg.com.br/arquivos/ids/177819/gato-siberiano-320x250.jpg?v=637534817463970000
59;BENGAL;CARINHOSO HIPERATIVO;https://static1.patasdacasa.com.br/articles/6/80/6/@/16646-o-gato-bengal-e-uma-raca-que-parece-um-l-opengraph_1200-2.jpg
60;SIAMES;LEAIS EXPRESSIVOS LINDOS;https://www.petlove.com.br/images/breeds/192825/profile/original/siames-p.jpg?1532626975
61;ASHERA;CALMO SILENCIOSO;https://guiaanimal.net/uploads/content/image/54425/Design_sem_nome__32_.png
62;MUNCHKIN;AMÁVEL DÓCIL INTELIGENTE;https://static1.patasdacasa.com.br/articles/3/16/33/@/16431-o-munchkin-e-inconfundivel-as-patinhas-articles_media_mobile-2.jpg
63;SPHYNX;DOCE PACÍFICO;https://www.petlove.com.br/images/breeds/192403/profile/original/sphynx-p.jpg?1532626992
64;MAU EGIPCIO;ELEGANTE POSSESSIVO;https://www.petlove.com.br/images/breeds/226085/profile/original/mau-egipcio-banner.jpg?1595974266
65;HIMALAIO;ELEGANTE INTELIGENTE SIMPÁTICO;https://www.petlove.com.br/images/breeds/223870/profile/original/perfil-himalaio.jpg?1595617107
66;HAVANA;ATIVO CARINHOSO;https://www.petlove.com.br/images/breeds/225906/mobile_header/original/GettyImages-1255873048.jpg?1595521839
67;EUROPEU;INTELIGENTE INDEPENDENTE;https://petfriendsworld.pt/wp-content/uploads/2020/04/gato-europeu-comum1.jpg
68;BALINES;BONITO SUAVE;https://www.zooplus.pt/magazine/wp-content/uploads/2020/03/gato-balines-768x512.jpeg
69;MIST AUSTRALIANO;BRINCALHÃO AMÁVEL SIMPÁTICO;https://image.cachorrogato.com.br/thumb/800/600/1/imagens/racas/imagem268.jpg
